filename,crop_path,class_name,label,width,height,xmin,ymin,xmax,ymax,split
000062.jpg,cropped/000062.jpg,benign,0,718,500,316,74,573,217,train
000063.jpg,cropped/000063.jpg,benign,0,718,500,167,157,502,394,train
000064.jpg,cropped/000064.jpg,benign,0,718,500,265,96,610,291,train
000065.jpg,cropped/000065.jpg,benign,0,718,500,289,48,516,155,train
000066.jpg,cropped/000066.jpg,malignant,1,498,429,85,111,248,273,train
000067.jpg,cropped/000067.jpg,malignant,1,498,429,140,122,328,300,train
000068.jpg,cropped/000068.jpg,benign,0,498,429,222,72,382,207,val
000069.jpg,cropped/000069.jpg,benign,0,718,500,254,84,467,400,train
000070.jpg,cropped/000070.jpg,benign,0,439,368,201,137,311,228,val
000071.jpg,cropped/000071.jpg,benign,0,718,500,66,20,659,325,train
000072.jpg,cropped/000072.jpg,benign,0,718,500,217,99,648,302,test
000073.jpg,cropped/000073.jpg,benign,0,718,500,169,134,633,294,train
000074.jpg,cropped/000074.jpg,benign,0,718,500,298,159,408,224,val
000075.jpg,cropped/000075.jpg,benign,0,718,500,106,160,363,277,train
000076.jpg,cropped/000076.jpg,malignant,1,498,429,132,144,278,321,train
000077.jpg,cropped/000077.jpg,malignant,1,498,429,162,113,245,204,train
000078.jpg,cropped/000078.jpg,malignant,1,498,429,234,39,375,176,train
000079.jpg,cropped/000079.jpg,malignant,1,498,429,95,77,214,151,test
000080.jpg,cropped/000080.jpg,malignant,1,498,429,153,76,295,165,test
000081.jpg,cropped/000081.jpg,malignant,1,718,500,322,221,429,325,train
000082.jpg,cropped/000082.jpg,benign,0,718,500,294,146,401,272,train
000083.jpg,cropped/000083.jpg,benign,0,718,500,232,156,325,274,train
000084.jpg,cropped/000084.jpg,benign,0,718,500,299,155,424,298,train
000085.jpg,cropped/000085.jpg,malignant,1,498,429,147,74,255,237,test
000086.jpg,cropped/000086.jpg,benign,0,718,500,422,227,460,269,train
000087.jpg,cropped/000087.jpg,benign,0,718,500,351,151,398,182,train
000088.jpg,cropped/000088.jpg,malignant,1,498,429,161,65,297,201,train
000089.jpg,cropped/000089.jpg,malignant,1,498,429,265,57,411,181,train
000090.jpg,cropped/000090.jpg,malignant,1,498,429,257,114,364,218,train
000091.jpg,cropped/000091.jpg,benign,0,718,500,434,103,531,200,train
000092.jpg,cropped/000092.jpg,benign,0,718,500,450,81,525,180,train
000093.jpg,cropped/000093.jpg,benign,0,718,500,303,116,481,210,train
000094.jpg,cropped/000094.jpg,malignant,1,718,500,270,202,407,322,train
000095.jpg,cropped/000095.jpg,malignant,1,718,500,298,216,439,318,test
000096.jpg,cropped/000096.jpg,malignant,1,718,500,273,253,367,373,train
000097.jpg,cropped/000097.jpg,malignant,1,718,500,356,145,413,202,test
000098.jpg,cropped/000098.jpg,malignant,1,718,500,240,139,342,233,test
000099.jpg,cropped/000099.jpg,benign,0,498,429,2,12,473,429,train
000100.jpg,cropped/000100.jpg,benign,0,498,429,105,22,498,322,val
000101.jpg,cropped/000101.jpg,malignant,1,818,628,302,124,594,348,train
000102.jpg,cropped/000102.jpg,malignant,1,818,628,335,147,532,378,train
000103.jpg,cropped/000103.jpg,malignant,1,718,500,418,146,554,290,train
000104.jpg,cropped/000104.jpg,benign,0,818,628,300,47,502,205,train
000105.jpg,cropped/000105.jpg,benign,0,718,500,345,49,661,190,val
000106.jpg,cropped/000106.jpg,benign,0,439,368,168,102,303,248,train
000107.jpg,cropped/000107.jpg,benign,0,439,368,146,110,360,278,train
000108.jpg,cropped/000108.jpg,malignant,1,718,500,276,106,546,307,train
000109.jpg,cropped/000109.jpg,malignant,1,718,500,229,116,448,337,train
000110.jpg,cropped/000110.jpg,malignant,1,718,500,404,102,537,246,test
000111.jpg,cropped/000111.jpg,benign,0,718,500,288,54,498,221,train
000112.jpg,cropped/000112.jpg,benign,0,718,500,340,66,548,232,train
000113.jpg,cropped/000113.jpg,benign,0,718,500,30,78,621,350,val
000114.jpg,cropped/000114.jpg,malignant,1,718,500,316,66,414,202,test
000115.jpg,cropped/000115.jpg,malignant,1,718,500,304,135,394,215,train
000116.jpg,cropped/000116.jpg,malignant,1,718,500,341,148,404,216,train
000117.jpg,cropped/000117.jpg,benign,0,718,500,395,61,619,213,train
000118.jpg,cropped/000118.jpg,benign,0,718,500,270,86,466,205,train
000119.jpg,cropped/000119.jpg,benign,0,718,500,465,64,697,242,test
000120.jpg,cropped/000120.jpg,benign,0,718,500,397,83,718,191,train
000121.jpg,cropped/000121.jpg,benign,0,818,628,304,134,623,387,train
000122.jpg,cropped/000122.jpg,benign,0,818,628,383,157,513,274,train
000123.jpg,cropped/000123.jpg,benign,0,818,628,411,187,511,265,test
000124.jpg,cropped/000124.jpg,benign,0,818,628,265,131,562,303,train
000125.jpg,cropped/000125.jpg,benign,0,439,368,65,48,439,354,train
000126.jpg,cropped/000126.jpg,benign,0,439,368,140,80,439,291,train
000127.jpg,cropped/000127.jpg,benign,0,439,368,203,76,401,265,test
000128.jpg,cropped/000128.jpg,benign,0,439,368,48,30,439,368,val
000129.jpg,cropped/000129.jpg,benign,0,439,368,37,18,439,363,train
000130.jpg,cropped/000130.jpg,benign,0,718,500,166,152,281,243,test
000131.jpg,cropped/000131.jpg,benign,0,718,500,334,186,406,266,train
000132.jpg,cropped/000132.jpg,benign,0,718,500,254,164,363,270,train
000133.jpg,cropped/000133.jpg,benign,0,718,500,386,59,596,195,train
000134.jpg,cropped/000134.jpg,benign,0,718,500,315,75,370,115,train
000135.jpg,cropped/000135.jpg,benign,0,718,500,357,30,570,174,test
000136.jpg,cropped/000136.jpg,benign,0,718,500,155,96,244,143,train
000137.jpg,cropped/000137.jpg,benign,0,718,500,103,27,463,363,train
000138.jpg,cropped/000138.jpg,benign,0,718,500,310,29,627,377,train
000139.jpg,cropped/000139.jpg,benign,0,718,500,384,49,629,331,train
000140.jpg,cropped/000140.jpg,benign,0,718,500,142,48,556,410,train
000141.jpg,cropped/000141.jpg,benign,0,718,500,127,37,549,422,train
000142.jpg,cropped/000142.jpg,benign,0,718,500,174,57,601,419,train
000143.jpg,cropped/000143.jpg,benign,0,718,500,231,109,359,185,train
000144.jpg,cropped/000144.jpg,benign,0,718,500,274,105,332,170,test
000145.jpg,cropped/000145.jpg,benign,0,718,500,156,73,231,115,train
000146.jpg,cropped/000146.jpg,malignant,1,718,500,197,137,308,239,train
000147.jpg,cropped/000147.jpg,malignant,1,718,500,198,102,325,209,val
000148.jpg,cropped/000148.jpg,benign,0,718,500,303,109,392,173,val
000149.jpg,cropped/000149.jpg,benign,0,718,500,331,22,523,201,val
000150.jpg,cropped/000150.jpg,malignant,1,718,500,284,74,585,226,train
000151.jpg,cropped/000151.jpg,benign,0,718,500,210,129,467,282,val
000152.jpg,cropped/000152.jpg,benign,0,718,500,187,124,450,282,train
000153.jpg,cropped/000153.jpg,benign,0,718,500,257,103,461,282,train
000154.jpg,cropped/000154.jpg,benign,0,718,500,229,116,434,243,train
000155.jpg,cropped/000155.jpg,benign,0,718,500,173,98,420,280,val
000156.jpg,cropped/000156.jpg,benign,0,718,500,287,37,455,212,test
000157.jpg,cropped/000157.jpg,benign,0,718,500,259,75,322,147,test
000158.jpg,cropped/000158.jpg,benign,0,718,500,379,168,473,251,val
000159.jpg,cropped/000159.jpg,benign,0,718,500,69,123,357,409,train
000160.jpg,cropped/000160.jpg,benign,0,718,500,299,151,351,200,train
000161.jpg,cropped/000161.jpg,benign,0,718,500,376,146,424,209,train
000162.jpg,cropped/000162.jpg,benign,0,718,500,137,44,541,466,train
000163.jpg,cropped/000163.jpg,malignant,1,718,500,115,160,212,234,test
000164.jpg,cropped/000164.jpg,malignant,1,718,500,166,152,273,270,train
000165.jpg,cropped/000165.jpg,benign,0,718,500,271,88,379,189,train
000166.jpg,cropped/000166.jpg,benign,0,718,500,327,94,416,198,train
000167.jpg,cropped/000167.jpg,benign,0,498,429,195,112,289,219,test
000168.jpg,cropped/000168.jpg,benign,0,498,429,136,106,357,282,val
000169.jpg,cropped/000169.jpg,benign,0,818,628,308,146,435,248,train
000170.jpg,cropped/000170.jpg,malignant,1,718,500,0,55,212,188,test
000171.jpg,cropped/000171.jpg,benign,0,498,429,156,55,350,152,train
000172.jpg,cropped/000172.jpg,benign,0,498,429,184,84,307,149,test
000173.jpg,cropped/000173.jpg,benign,0,718,500,237,92,494,293,train
000174.jpg,cropped/000174.jpg,benign,0,718,500,103,96,340,294,train
000175.jpg,cropped/000175.jpg,benign,0,718,500,232,68,504,292,train
000176.jpg,cropped/000176.jpg,benign,0,718,500,320,86,567,280,train
000177.jpg,cropped/000177.jpg,benign,0,718,500,273,107,392,208,train
000178.jpg,cropped/000178.jpg,malignant,1,718,500,171,55,356,187,test
000179.jpg,cropped/000179.jpg,malignant,1,718,500,198,63,360,155,test
000180.jpg,cropped/000180.jpg,malignant,1,718,500,322,54,551,319,test
000181.jpg,cropped/000181.jpg,malignant,1,718,500,306,55,537,309,train
000182.jpg,cropped/000182.jpg,malignant,1,718,500,209,62,498,332,train
000183.jpg,cropped/000183.jpg,malignant,1,718,500,67,74,608,452,test
000184.jpg,cropped/000184.jpg,benign,0,718,500,189,33,718,500,train
000185.jpg,cropped/000185.jpg,benign,0,718,500,238,142,654,500,train
000186.jpg,cropped/000186.jpg,malignant,1,718,500,193,47,544,375,val
000187.jpg,cropped/000187.jpg,benign,0,718,500,306,83,380,164,train
000188.jpg,cropped/000188.jpg,benign,0,718,500,129,23,599,470,test
000189.jpg,cropped/000189.jpg,benign,0,718,500,265,0,718,444,train
000190.jpg,cropped/000190.jpg,benign,0,718,500,102,146,523,481,train
000191.jpg,cropped/000191.jpg,benign,0,718,500,249,63,513,406,test
000192.jpg,cropped/000192.jpg,benign,0,718,500,171,66,389,200,train
000193.jpg,cropped/000193.jpg,benign,0,718,500,83,55,677,367,train
000194.jpg,cropped/000194.jpg,malignant,1,718,500,155,106,435,396,train
000195.jpg,cropped/000195.jpg,malignant,1,718,500,143,46,670,369,train
000196.jpg,cropped/000196.jpg,malignant,1,718,500,322,147,492,297,train
000197.jpg,cropped/000197.jpg,benign,0,718,500,357,104,594,282,train
000198.jpg,cropped/000198.jpg,benign,0,718,500,389,129,531,269,test
000199.jpg,cropped/000199.jpg,benign,0,718,500,187,150,278,200,test
000200.jpg,cropped/000200.jpg,malignant,1,718,500,318,94,463,214,train
000201.jpg,cropped/000201.jpg,benign,0,718,500,328,158,403,226,test
000202.jpg,cropped/000202.jpg,benign,0,718,500,139,69,440,264,train
000203.jpg,cropped/000203.jpg,benign,0,718,500,45,27,567,385,val
000204.jpg,cropped/000204.jpg,benign,0,718,500,0,7,684,390,train
000205.jpg,cropped/000205.jpg,benign,0,718,500,300,85,563,272,train
000206.jpg,cropped/000206.jpg,benign,0,718,500,261,84,466,242,train
000207.jpg,cropped/000207.jpg,benign,0,718,500,303,161,401,227,val
000208.jpg,cropped/000208.jpg,benign,0,718,500,359,166,504,272,train
000209.jpg,cropped/000209.jpg,benign,0,718,500,0,1,718,431,test
000210.jpg,cropped/000210.jpg,benign,0,718,500,38,8,659,443,test
000211.jpg,cropped/000211.jpg,benign,0,718,500,99,26,691,397,train
000212.jpg,cropped/000212.jpg,benign,0,718,500,62,40,471,398,train
000213.jpg,cropped/000213.jpg,benign,0,718,500,264,126,390,253,train
000214.jpg,cropped/000214.jpg,benign,0,718,500,217,153,341,226,train
000215.jpg,cropped/000215.jpg,benign,0,718,500,400,147,483,199,test
000216.jpg,cropped/000216.jpg,benign,0,718,500,0,8,718,500,train
000217.jpg,cropped/000217.jpg,benign,0,718,500,411,121,572,221,train
000218.jpg,cropped/000218.jpg,benign,0,718,500,186,148,320,237,train
000219.jpg,cropped/000219.jpg,benign,0,718,500,311,133,447,206,train
000220.jpg,cropped/000220.jpg,benign,0,718,500,418,116,496,162,train
000221.jpg,cropped/000221.jpg,benign,0,718,500,339,241,465,304,train
000222.jpg,cropped/000222.jpg,benign,0,718,500,329,83,587,298,train
000223.jpg,cropped/000223.jpg,benign,0,718,500,228,85,494,297,train
000224.jpg,cropped/000224.jpg,benign,0,718,500,249,168,428,320,train
000225.jpg,cropped/000225.jpg,benign,0,718,500,275,161,441,313,train
000226.jpg,cropped/000226.jpg,benign,0,718,500,330,175,437,320,train
000227.jpg,cropped/000227.jpg,benign,0,498,429,138,190,257,270,train
000228.jpg,cropped/000228.jpg,benign,0,718,500,133,104,552,422,val
000229.jpg,cropped/000229.jpg,benign,0,718,500,188,124,313,232,train
000230.jpg,cropped/000230.jpg,benign,0,718,500,336,129,451,239,train
000231.jpg,cropped/000231.jpg,benign,0,718,500,371,120,576,230,train
000232.jpg,cropped/000232.jpg,benign,0,718,500,423,126,515,227,train
000233.jpg,cropped/000233.jpg,benign,0,718,500,268,119,408,234,train
000234.jpg,cropped/000234.jpg,benign,0,718,500,231,142,325,208,train
000235.jpg,cropped/000235.jpg,benign,0,718,500,221,30,523,166,test
000236.jpg,cropped/000236.jpg,benign,0,718,500,212,173,300,219,test
000237.jpg,cropped/000237.jpg,benign,0,718,500,94,62,643,412,train
000238.jpg,cropped/000238.jpg,benign,0,718,500,438,194,521,251,test
000239.jpg,cropped/000239.jpg,benign,0,718,500,73,7,677,497,train
000240.jpg,cropped/000240.jpg,malignant,1,718,500,294,77,440,238,train
000241.jpg,cropped/000241.jpg,benign,0,718,500,30,11,633,399,train
000242.jpg,cropped/000242.jpg,benign,0,718,500,0,73,543,291,train
000243.jpg,cropped/000243.jpg,benign,0,718,500,278,171,488,298,train
000244.jpg,cropped/000244.jpg,benign,0,718,500,290,150,460,278,train
000245.jpg,cropped/000245.jpg,benign,0,718,500,302,149,443,282,train
000246.jpg,cropped/000246.jpg,benign,0,718,500,512,122,577,189,train
000247.jpg,cropped/000247.jpg,benign,0,718,500,260,254,397,343,test
000248.jpg,cropped/000248.jpg,benign,0,718,500,281,221,389,288,train
000249.jpg,cropped/000249.jpg,malignant,1,718,500,306,75,472,236,train
000250.jpg,cropped/000250.jpg,malignant,1,498,429,53,56,410,268,val
000251.jpg,cropped/000251.jpg,malignant,1,498,429,98,37,328,243,val
000252.jpg,cropped/000252.jpg,benign,0,919,646,429,123,519,215,train
000253.jpg,cropped/000253.jpg,benign,0,718,500,314,151,388,278,test
000254.jpg,cropped/000254.jpg,benign,0,718,500,346,183,559,300,test
000255.jpg,cropped/000255.jpg,benign,0,718,500,522,125,581,197,test
000256.jpg,cropped/000256.jpg,benign,0,718,500,340,85,476,175,train
000257.jpg,cropped/000257.jpg,malignant,1,498,429,133,65,426,321,train
000258.jpg,cropped/000258.jpg,malignant,1,498,429,132,82,432,322,test
000259.jpg,cropped/000259.jpg,benign,0,919,646,143,189,347,377,train
000260.jpg,cropped/000260.jpg,benign,0,919,646,120,216,289,348,test
000261.jpg,cropped/000261.jpg,benign,0,818,628,136,25,635,410,test
000262.jpg,cropped/000262.jpg,benign,0,818,628,235,26,663,357,test
000263.jpg,cropped/000263.jpg,malignant,1,498,429,83,94,402,326,train
000264.jpg,cropped/000264.jpg,malignant,1,498,429,107,117,361,346,train
000265.jpg,cropped/000265.jpg,benign,0,718,500,230,47,417,154,train
000266.jpg,cropped/000266.jpg,benign,0,718,500,149,77,472,353,train
000267.jpg,cropped/000267.jpg,benign,0,718,500,293,265,452,401,val
000268.jpg,cropped/000268.jpg,benign,0,718,500,300,75,450,190,train
000269.jpg,cropped/000269.jpg,benign,0,718,500,221,57,372,198,train
000270.jpg,cropped/000270.jpg,malignant,1,718,500,222,166,316,319,train
000271.jpg,cropped/000271.jpg,benign,0,718,500,297,80,431,171,train
000272.jpg,cropped/000272.jpg,benign,0,718,500,278,105,440,203,train
000273.jpg,cropped/000273.jpg,benign,0,718,500,285,85,437,165,train
000274.jpg,cropped/000274.jpg,benign,0,718,500,383,166,439,224,test
000275.jpg,cropped/000275.jpg,benign,0,718,500,343,83,493,184,train
000276.jpg,cropped/000276.jpg,benign,0,718,500,201,86,507,202,train
000277.jpg,cropped/000277.jpg,benign,0,718,500,103,74,259,164,test
000278.jpg,cropped/000278.jpg,benign,0,718,500,378,121,427,157,train
000279.jpg,cropped/000279.jpg,benign,0,718,500,295,108,399,189,train
000280.jpg,cropped/000280.jpg,benign,0,718,500,251,103,362,184,train
000281.jpg,cropped/000281.jpg,benign,0,718,500,373,134,490,209,train
000282.jpg,cropped/000282.jpg,benign,0,718,500,276,167,401,264,train
000283.jpg,cropped/000283.jpg,benign,0,718,500,132,0,588,410,test
000284.jpg,cropped/000284.jpg,benign,0,718,500,208,158,333,256,train
000285.jpg,cropped/000285.jpg,benign,0,718,500,161,50,477,303,train
000286.jpg,cropped/000286.jpg,benign,0,718,500,277,114,404,203,val
000287.jpg,cropped/000287.jpg,benign,0,718,500,109,18,608,489,test
000288.jpg,cropped/000288.jpg,benign,0,718,500,164,39,613,451,test
000289.jpg,cropped/000289.jpg,benign,0,718,500,384,123,585,224,train
000290.jpg,cropped/000290.jpg,benign,0,718,500,294,159,408,277,train
000291.jpg,cropped/000291.jpg,malignant,1,718,500,128,150,226,318,train
000292.jpg,cropped/000292.jpg,benign,0,498,429,0,72,498,429,train
000293.jpg,cropped/000293.jpg,benign,0,498,429,161,166,286,315,train
000294.jpg,cropped/000294.jpg,benign,0,498,429,138,189,222,248,train
000295.jpg,cropped/000295.jpg,benign,0,718,500,155,55,535,487,train
000296.jpg,cropped/000296.jpg,benign,0,718,500,256,74,565,487,train
000297.jpg,cropped/000297.jpg,malignant,1,498,429,107,95,328,266,train
000298.jpg,cropped/000298.jpg,malignant,1,498,429,139,42,307,266,train
000299.jpg,cropped/000299.jpg,benign,0,818,628,196,146,574,377,train
000300.jpg,cropped/000300.jpg,benign,0,818,628,329,138,617,384,train
000301.jpg,cropped/000301.jpg,benign,0,818,628,427,48,781,458,train
000302.jpg,cropped/000302.jpg,benign,0,818,628,461,112,585,216,test
000303.jpg,cropped/000303.jpg,benign,0,818,628,190,53,743,445,train
000304.jpg,cropped/000304.jpg,benign,0,718,500,28,83,676,379,train
000305.jpg,cropped/000305.jpg,benign,0,718,500,307,64,404,144,train
000306.jpg,cropped/000306.jpg,benign,0,718,500,412,106,520,188,val
000307.jpg,cropped/000307.jpg,benign,0,718,500,0,55,674,341,test
000308.jpg,cropped/000308.jpg,benign,0,718,500,328,181,403,243,train
000309.jpg,cropped/000309.jpg,benign,0,718,500,211,150,304,242,train
000310.jpg,cropped/000310.jpg,benign,0,718,500,246,178,439,303,train
000311.jpg,cropped/000311.jpg,benign,0,718,500,0,58,718,478,train
000312.jpg,cropped/000312.jpg,benign,0,718,500,67,59,601,490,train
000313.jpg,cropped/000313.jpg,benign,0,718,500,356,132,450,186,test
000314.jpg,cropped/000314.jpg,benign,0,718,500,2,0,718,389,test
000315.jpg,cropped/000315.jpg,benign,0,718,500,150,0,680,391,val
000316.jpg,cropped/000316.jpg,benign,0,718,500,307,29,666,301,val
000317.jpg,cropped/000317.jpg,benign,0,718,500,140,49,641,400,train
000318.jpg,cropped/000318.jpg,benign,0,718,500,217,92,542,289,val
000319.jpg,cropped/000319.jpg,benign,0,718,500,121,36,677,341,train
000320.jpg,cropped/000320.jpg,benign,0,718,500,318,111,497,199,val
000321.jpg,cropped/000321.jpg,malignant,1,498,429,56,102,218,247,train
000322.jpg,cropped/000322.jpg,malignant,1,498,429,122,93,302,237,train
000323.jpg,cropped/000323.jpg,benign,0,718,500,30,60,651,473,train
000324.jpg,cropped/000324.jpg,benign,0,718,500,10,36,595,441,train
000325.jpg,cropped/000325.jpg,benign,0,718,500,197,36,350,161,test
000326.jpg,cropped/000326.jpg,benign,0,718,500,369,138,504,280,train
000327.jpg,cropped/000327.jpg,benign,0,718,500,338,98,422,139,val
000328.jpg,cropped/000328.jpg,benign,0,718,500,339,152,465,304,val
000329.jpg,cropped/000329.jpg,benign,0,718,500,423,138,534,315,train
000330.jpg,cropped/000330.jpg,benign,0,718,500,341,92,447,144,train
000331.jpg,cropped/000331.jpg,benign,0,718,500,333,237,395,263,train
000332.jpg,cropped/000332.jpg,benign,0,718,500,207,274,273,324,test
000333.jpg,cropped/000333.jpg,benign,0,498,429,211,77,447,228,train
000334.jpg,cropped/000334.jpg,benign,0,498,429,222,127,333,231,train
000335.jpg,cropped/000335.jpg,benign,0,498,429,178,95,365,173,train
000336.jpg,cropped/000336.jpg,benign,0,498,429,142,56,381,201,train
000337.jpg,cropped/000337.jpg,benign,0,498,429,186,49,420,194,train
000338.jpg,cropped/000338.jpg,benign,0,498,429,150,71,280,151,train
000339.jpg,cropped/000339.jpg,benign,0,818,628,265,127,579,316,test
000340.jpg,cropped/000340.jpg,benign,0,818,628,241,92,520,296,train
000341.jpg,cropped/000341.jpg,benign,0,718,500,77,49,713,372,train
000342.jpg,cropped/000342.jpg,benign,0,718,500,403,239,479,303,test
000343.jpg,cropped/000343.jpg,benign,0,718,500,336,88,480,179,train
000344.jpg,cropped/000344.jpg,benign,0,718,500,302,109,547,259,train
000345.jpg,cropped/000345.jpg,benign,0,718,500,260,245,455,361,train
000346.jpg,cropped/000346.jpg,benign,0,718,500,357,135,457,232,test
000347.jpg,cropped/000347.jpg,benign,0,718,500,475,114,590,225,train
000348.jpg,cropped/000348.jpg,benign,0,718,500,90,28,652,468,train
000349.jpg,cropped/000349.jpg,benign,0,718,500,179,76,711,426,train
000350.jpg,cropped/000350.jpg,benign,0,718,500,140,56,681,475,train
000351.jpg,cropped/000351.jpg,benign,0,718,500,287,104,675,409,test
000352.jpg,cropped/000352.jpg,malignant,1,498,429,109,85,298,256,train
000353.jpg,cropped/000353.jpg,benign,0,718,500,217,188,412,376,train
000354.jpg,cropped/000354.jpg,malignant,1,498,429,141,79,336,249,train
000355.jpg,cropped/000355.jpg,malignant,1,498,429,245,23,498,278,train
000356.jpg,cropped/000356.jpg,benign,0,718,500,417,107,500,170,train
000357.jpg,cropped/000357.jpg,benign,0,718,500,339,184,563,412,train
000358.jpg,cropped/000358.jpg,benign,0,718,500,216,165,462,406,train
000359.jpg,cropped/000359.jpg,benign,0,718,500,348,254,393,304,test
000360.jpg,cropped/000360.jpg,benign,0,718,500,169,94,641,364,train
000361.jpg,cropped/000361.jpg,benign,0,718,500,240,109,555,284,test
000362.jpg,cropped/000362.jpg,benign,0,718,500,259,87,460,247,val
000363.jpg,cropped/000363.jpg,benign,0,718,500,8,40,716,436,train
000364.jpg,cropped/000364.jpg,benign,0,718,500,70,57,580,470,train
000365.jpg,cropped/000365.jpg,benign,0,718,500,365,188,417,211,train
000366.jpg,cropped/000366.jpg,benign,0,718,500,489,178,579,261,val
000367.jpg,cropped/000367.jpg,benign,0,718,500,191,70,333,211,train
000368.jpg,cropped/000368.jpg,benign,0,498,429,172,83,210,115,train
000369.jpg,cropped/000369.jpg,benign,0,498,429,202,86,334,162,train
000370.jpg,cropped/000370.jpg,benign,0,718,500,349,85,406,126,train
000371.jpg,cropped/000371.jpg,benign,0,718,500,164,107,401,277,train
000372.jpg,cropped/000372.jpg,benign,0,718,500,179,103,397,261,train
000373.jpg,cropped/000373.jpg,benign,0,818,628,273,268,413,360,train
000374.jpg,cropped/000374.jpg,benign,0,818,628,415,169,535,270,train
